effective_time,spl_id,spl_set_id,generic_name,brand_name,manufacturer_name,nda
20201110,ffb8c502-22a7-48ce-9ff2-cee7a3c5ff0f,b1e29c19-fe03-4d2b-b966-0adf4eb4b4cf,"IBUPROFEN, PHENYLEPHRINE HYDROCHLORIDE",ADVIL SINUS CONGESTION AND PAIN,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC,NDA022565
20200521,df64082c-a5c5-4d74-adc5-065cf9b0b061,5c02665d-05d2-4e99-b403-c270de543ebe,NALOXEGOL OXALATE,MOVANTIK,"Quality Care Products, LLC",NDA204760
20190701,e0ddade3-cb18-4730-802e-e6103ba1cddd,fadd07b7-189b-4678-ad0f-bf1e4d3d1300,NITROGLYCERIN,NITROGLYCERIN LINGUAL,"Allegis Pharmaceuticals, LLC",NDA018705
20180415,e94f2e02-f897-48c4-f1f6-ad66d588819b,7496d736-9f7d-4136-ad5d-b24c7803c21b,DIATRIZOATE MEGLUMINE,Cystografin,BRACCO DIAGNOSTICS INC,NDA010040
20201026,f41df0a0-d4ff-4532-be0d-679d43609538,1b212c74-6560-4ad8-9b46-bd4e42c99287,NITROGEN,NITROGEN,Richmond Oxygen Company Inc.,NDA206024
20201002,1838a50c-09c7-11ea-828e-5629192adfa6,6a9cbc29-9f15-4b24-8d86-206b82887f3d,ETRAVIRINE,Intelence,Janssen Products LP,NDA022187
20200715,fc7e5f45-d2c0-4cae-87bd-9d5f9068016c,8c126bb8-732a-4949-8754-2f50b5543638,CLONIDINE HYDROCHLORIDE,Duraclon,Mylan Institutional LLC,NDA020615
20200930,2f802a3f-c021-45c1-8693-5689c30c3fc6,e4027e5a-0f9b-4070-b196-f60172f45c4c,PIMECROLIMUS,ELIDEL,"Bausch Health US, LLC",NDA021302
20201013,33a8f0bc-8ebd-4afa-98f5-dd97e12ad628,f99447d4-50a3-437c-9754-f0945ede368a,AIR COMPRESSED,AIR COMPRESSED,Air Source Industries,NDA205865
20200805,2e4df7c6-d2d2-4bf4-9c9f-69dd540e453d,fa7d93e3-b69b-4e02-8146-89760cd8e9d6,AVANAFIL,Stendra,"Metuchen Pharmaceuticals, LLC",NDA202276
20201201,31357338-5094-43bc-a560-c77ff62aada4,806ad1b6-0de7-4e9a-be86-475c0ef2c340,PHENIRAMINE MALEATE AND NAPHAZOLINE HYDROCHLORIDE,Eye Allergy Relief,Target Corporation,NDA020065
20200725,45d19985-4f13-4546-9424-baa204560de5,5e5926a7-1de0-4b54-a5c0-286b6200ff82,CYCLOSPORINE,Sandimmune,Novartis Pharmaceuticals Corporation,NDA050573
20201211,5149fb97-98d2-4bda-bc94-14ce69de6f39,5552884e-10ea-450c-9658-d3d4f33c946e,TRICLABENDAZOLE,EGATEN,Novartis Pharmaceuticals Corporation,NDA208711
20190227,75987931-ae25-4b15-b670-9a8a7120407f,deb89be7-f40e-4fd4-a2cb-96634b45da84,ZOLEDRONIC ACID,zoledronic acid,Sagent Pharmaceuticals,NDA203231
20180629,7803b863-697d-4d96-911f-5a229bbd8272,0b82ffed-27f4-4f5c-8135-670c148f0e12,PLAZOMICIN,Zemdri (plazomicin),"Achaogen, Inc.",NDA210303
20200929,83e12ad2-96f6-4e9c-85f8-1e62e7e1b829,5d9a5433-857e-44ea-b3d6-2a400ca0cef5,OLODATEROL RESPIMAT INHALATION SPRAY,Striverdi Respimat,"Boehringer Ingelheim Pharmaceuticals, Inc.",NDA203108
20191209,03a98b4c-213b-4537-8d3a-aaa9f9f1cc9b,7f250086-2837-484b-9674-e09856b34cb0,SODIUM IOTHALAMATE I-125 INJECTION,Glofil-125,"Iso-Tex Diagnostics, Inc.",NDA017279
20190516,05024365-dc44-40e8-a0a2-a245f541805d,4dec1dbd-c63b-4a1b-81cb-c8d29696cc40,ALPROSTADIL,Caverject Impulse,Pharmacia and Upjohn Company LLC,NDA021212
20170810,0c886303-dcf9-48f5-970c-83fd62d1a0aa,ab771c7e-ed01-442c-be0e-d368db6e4100,ADAPALENE,Proactiv MD Adapalene Acne Treatment,"The Proactiv Company, LLC",NDA020380
20201008,993e2f83-0fc1-42d7-a122-66d9f690ffd4,a1823be3-a739-48bc-a3ea-ceb7cc5105ce,FLUORESCEIN SODIUM,AK-FLUOR,Akorn,NDA022186
20200622,a8adb813-593d-5276-e053-2995a90a0dbb,56e7180d-013d-4605-9444-66f7e857ba2c,LANSOPRAZOLE,Prevacid,"PD-Rx Pharmaceuticals, Inc.",NDA020406
20200304,b02c7ef0-b683-ea13-bcb4-30be2a740fd7,57bd50e6-c948-0037-4a4b-c8951f70d04a,DEFERIPRONE,FERRIPROX,"ApoPharma USA, Inc.",NDA021825
20201021,b3ba6dc4-6333-41de-8239-edab095b6862,00dc36cc-8f26-4b05-b9b5-cb4b2fd277cf,NITROGEN OXYGEN MIX,Nitrogen Oxygen Mix,"Airgas Usa, LLC",NDA206023
20130208,e1eaf98c-712f-4253-80e9-7e6f41b7e212,5449ca98-efb8-4c3b-8756-747b2349a472,ZICONOTIDE,Prialt,"Jazz Pharmaceuticals, Inc.",NDA021060
20200612,d5a747a2-1167-406b-a907-19a70e9912c9,f5bb0854-a477-4e59-914b-eeeaef92a596,HYDROCORTISONE SODIUM SUCCINATE,Solu-Cortef,Cardinal Health,NDA009866
20170629,e4a973a8-5fc7-43d8-9bbe-14ce4cb7ded2,38f88829-a226-4810-866c-1b62c47e8aee,ROBINUL,Robinul,West-Ward Pharmaceuticals Corp.,NDA017558
20201009,eff77cc8-396a-4421-9f9d-2c5aa66daa18,02438044-d6a3-49e9-a1ac-3aad21ef2c8c,DOFETILIDE,Tikosyn,Pfizer Laboratories Div Pfizer Inc,NDA020931
20181210,eee17882-21cf-4def-8962-822c19a40980,090a3d3d-92c3-4c30-a648-436461f81702,METHOCARBAMOL,ROBAXIN,West-Ward Pharmaceuticals Corp.,NDA011790
20201026,ff50b474-2389-4c76-a323-83dadb6340ae,38270a1a-43ae-4353-a523-d56dc8ee7e8e,OXYGEN,OXYGEN,"Triweld Industries, Inc.",NDA205865
20170106,02e48e12-a4e5-4d00-802f-96225b2c80cb,6e027927-1532-46ba-8839-6ee4416d0b60,MICONAZOLE NITRATE,Miconazole 3,CVS Pharmacy,NDA020670
20200807,0818de3a-75e9-4c96-8cee-afeea533ef7c,ebb177c0-d45d-4443-a85a-e76bd9931a42,TRIAMTERENE,Dyrenium,Concordia Pharmaceuticals Inc.,NDA013174
20201026,29742ea9-1f7f-4196-b122-ccf3c06f9cd8,2b49d5f8-c46a-48b6-a6a2-3fd05c5fe319,OXYGEN,OXYGEN,"Strate Welding Supply Co., Inc.",NDA205767
20190325,2b0c3548-2abf-4e26-af23-e3f137a60479,b8c156e9-71e7-4815-ac9a-d9f517978177,NIFEDIPINE,Nifedipine,A-S Medication Solutions,NDA020198
20190518,3033e669-5fe5-49eb-9432-1cbf2083f9a5,4b5f7c65-aa2d-452a-b3db-bc85c06ff12f,CARIPRAZINE,Vraylar,"Allergan, Inc.",NDA204370
20200430,1a251c89-4c8a-49e1-a833-f1cf1aedcf0e,d3d29c8f-c326-4097-814a-7f4e08c67068,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",Lactated Ringers,B. Braun Medical Inc.,NDA019632
20200604,1d7a7ff5-31d2-4957-90e5-173d2200ddb1,9acee910-cdb2-4052-b8b3-c26aff1c8716,SOLIFENACIN SUCCINATE,VESIcare,"Astellas Pharma US, Inc.",NDA021518
20191016,1dbfc0cc-22fb-4575-8a42-6088acee14ee,bb0116d0-93e4-44e2-b0e4-c0b773eced6f,DEXTROMETHORPHAN,Delsym (Dextromethorphan),RB Health (US) LLC,NDA018658
20190621,8bb030db-a97d-3a4a-e053-2a95a90aa6b7,8bb030b7-104a-373b-e053-2995a90ab580,POTASSIUM CHLORIDE,Potassium Chloride,"AvKARE, Inc",NDA019123
20200320,8aad241a-6ca6-4277-a341-d427a86b7c99,f82a8d79-3150-4ad5-af8c-23ffef523019,OMEPRAZOLE,health mart omeprazole,Strategic Sourcing Services LLC,NDA022032
20200402,8c472bf5-1337-4135-a2c4-ef6d4f5f3ece,a12b2e99-c8b3-4d08-9af0-8c4a4376ebf1,BUDESONIDE,budesonide,Oceanside Pharmaceuticals,NDA203634
20191031,96375f2c-890a-e4dc-e053-2995a90a0c25,8346c552-780e-4beb-9cdd-bf6fa580b6e4,CHLORHEXIDINE GLUCONATE AND ISOPROPYL ALCOHOL,Prevantics swabstick,"Professional Disposables International, Inc.",NDA021524
20191104,96890c35-e743-fdfd-e053-2a95a90a77a9,e2c09216-fd63-4d50-9878-62b36236b2e7,IBUPROFEN,Advil Liquigels,Navajo Manufacturing Company Inc.,NDA020402
20200127,9d25c1a4-0d08-0d68-e053-2995a90a1ceb,0930a471-6ff1-43a1-b3ea-948ca3f99d06,MEDROXYPROGESTERONE ACETATE,medroxyprogesterone acetate,"PD-Rx Pharmaceuticals, Inc.",NDA011839
20200131,9d71a6df-4309-b081-e053-2a95a90adb54,60fbb808-3fd5-401c-b000-8c4b806a055c,LEVOTHYROXINE SODIUM,Levothyroxine Sodium,"PD-Rx Pharmaceuticals, Inc.",NDA021210
20200221,9f21ab93-f33b-e998-e053-2995a90a9b32,7896052c-2a72-ca89-e053-2a91aa0ae86e,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst",NDA018826
20201116,b26eda42-5df1-45b9-bab1-f1c557a2bad1,fdee1637-8049-4bc5-b196-b6d854c9f9f3,NICOTINE POLACRILEX,NICORETTE,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC,NDA022360
20201008,b12abca1-6e25-b0fc-e053-2a95a90a2d53,9f5822ee-0117-4e37-a9c6-555cf5835e9b,NITROGEN,Nitrogen,Southern Gas & Supply LLC,NDA205766
20201008,b12ba5ca-3573-b6dd-e053-2995a90a51ab,7031ce80-b648-eeda-e053-2991aa0aee24,OXYGEN,Oxygen,W H GOODALE CO,NDA205849
20190903,ae14292b-4c10-4443-baac-9284db8752bd,ea25e7ac-7a93-4ec8-975b-2cec197e1c27,GANCICLOVIR,ZIRGAN,Bausch & Lomb Incorporated,NDA022211
20200825,adb5b9b5-1e7e-7643-e053-2995a90aaf07,8aa8ee11-19fd-82a1-e053-2995a90ad7b0,GLIPIZIDE,Glipizide XL,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",NDA020329
20200914,af4c2dbe-14a3-98d4-e053-2995a90a809b,949661c5-2b98-46f9-a002-7e73f1e00952,TRAMADOL HYDROCHLORIDE,QDOLO,"Athena Bioscience, LLC",NDA214044
20170524,b4771ea7-c19b-4182-bb23-c1473ab583fa,b4771ea7-c19b-4182-bb23-c1473ab583fa,DOXEPIN HYDROCHLORIDE,Doxepin Hydrochloride,Mylan Pharmaceuticals Inc.,NDA020126
20201013,b19173dc-6105-45fa-e053-2995a90ab7b1,cd28c7dd-3d63-4e8e-8f00-ebfc4c04d191,OXYGEN,Oxygen,Victor Welding Supply Company,NDA205865
20200207,b5165ab3-b010-49fb-a861-087523751bd2,52146dd3-bbf8-4486-803f-69a779adbcad,"LIDOCAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE INJECTION, SOLUTION",Xylocaine,"General Injectables & Vaccines, Inc",NDA006488
20191101,bd4cd8d6-2bfc-4dce-bde6-681f12fdf08f,3b53f9bf-866a-4cb1-9180-7b13896e26ba,NITROFURANTION MACROCRYSTALS,Nitrofurantion Macrocrystals,Proficient Rx LP,NDA016620
20201013,e64fb930-49b6-4bcb-9020-f95e6f53c1e4,ebbc0f8e-a993-4732-a750-8d35e27253b3,OXYGEN,OXYGEN,"Airweld, Inc dba Atlantic Welding Supply",NDA205767
20200731,ea648255-d0e3-476f-bc7f-33bed2b4b34a,028312dc-d155-4fd5-8abd-6bb9f011d3cc,SONIDEGIB,Odomzo,"Sun Pharmaceutical Industries, Inc.",NDA205266
20191211,e07fcb28-4592-475b-b9ad-f4b189d15ea2,52a1e045-0c94-4de4-8a05-9f0724cd0473,SODIUM FLUORIDE AND TRICLOSAN,Colgate Total Advanced Fresh plus Whitening,Colgate-Palmolive Company,NDA020231
20201026,e98fc587-9a9e-48c0-beeb-6d30b027f0af,1fa0cc05-37ce-4d61-8060-fd89a5d449d2,WATER,Eyewash,MWI,NDA022305
20200213,eed58d45-1948-4a41-a213-517a2cf0c253,e1b75458-2e5b-46b9-92c6-fa6daba3770f,CONJUGATED ESTROGENS/BAZEDOXIFENE,Duavee,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",NDA022247
20200109,0b603f42-c3fe-4a39-a2ac-02105bbc925b,91ae5b40-9b59-4231-8ab3-69502245d918,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM LACTATE AND CALCIUM CHLORIDE",Lacellate Solution - 1000,IT3 Medical LLC,NDA016682
20200819,5de36f8a-cbc2-4884-8fcf-e9302d41c2f8,a52896cd-4a98-49b8-82db-bf1985a64d97,ROLAPITANT,Varubi,TerSera Therapeutics LLC,NDA206500
20201006,b1065ce9-77b6-5b1c-e053-2a95a90af87f,2d8b3ad7-19fd-4dce-a1de-991840e4277a,OXYGEN,Oxygen,Central Welding Supply Company,NDA205712
20201007,b1191d33-d84f-0dc6-e053-2995a90aa2dc,e81305b1-798d-4e16-8144-f96be15bdaf0,OXYGEN,Oxygen,"Depke Welding Supplies, Inc.",NDA205865
20201012,b17ca396-40c6-aae9-e053-2a95a90a36e6,4ab2dd27-c584-0e49-e054-00144ff88e88,CHLORHEXIDINE GLUCONATE 4%,Antiseptic Skin Cleanser,"Xttrium Laboratories, Inc.",NDA019125
20201012,b17e35f1-3349-e9d6-e053-2995a90a4a72,56d37fcb-8abf-4671-9388-a8837c94e5a2,NITROUS OXIDE,Nitrous Oxide,"Oxarc, Inc.",NDA206009
20201013,b18f04d4-7261-5cdc-e053-2995a90ad427,347f107c-b1a9-4dda-9087-6d242f2e18f0,OXYGEN,Oxygen,"SYOXSA, Inc.",NDA205712
20201103,b339af0b-4fa3-e8c3-e053-2995a90a6a34,b339af0b-4fa2-e8c3-e053-2995a90a6a34,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFATRIM,"RedPharm Drug, Inc.",NDA018615
20201027,b2ab1cb7-7447-1688-e053-2a95a90a65d4,1eaa15c7-05ad-4e20-a0b8-f918376ea40a,CHLORHEXIDINE GLUCONATE AND ISOPROPYL ALCOHOL,ChloraPrep One-Step,CareFusion 213 LLC,NDA020832
20201001,b0a20f63-70ba-1118-e053-2995a90a6755,60dd4f4b-7132-385e-e053-2a91aa0ad5d6,HELIUM/OXYGEN MIX,Helium/Oxygen Mix,"NEXAIR, LLC",NDA205849
20201016,b520bdea-fa12-40db-9805-77de6619220d,35707dc4-4897-2452-74c0-0704a80c5036,ALLOPURINOL,Allopurinol,Bryant Ranch Prepack,NDA018832
20201201,b56dc97f-0c2f-4b6c-e053-2a95a90acf11,48806765-8af7-488e-af41-0eee1616c743,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,Betamethasone Sodium Phosphate and Betamethasone Acetate,REMEDYREPACK INC.,NDA014602
20201007,b11b8410-bc8e-3e17-e053-2a95a90a0218,d3b0a4c1-dd5e-4176-8560-09f392cb4b06,OXYGEN,Oxygen,"Gallup Welders Supply, Inc.",NDA205865
20060706,7d355981-e4d6-4d06-a2b3-eb83edce221b,f6c7e87b-6629-4d68-ae46-add64ca9daab,HALCINONIDE,HALOG,"E.R. Squibb & Sons, L.L.C.",NDA017823
20200121,8f222765-9636-412a-804d-5b4ff48e998b,b82d993a-16ff-4037-a182-7010de8e1cdd,FEXOFENADINE HYDROCHLORIDE,Allegra Allergy,"Lil' Drug Store Products, Inc",NDA020872
20191018,95294aeb-b12d-67ff-e053-2a95a90aaa69,2b7c7587-2042-0d9c-e054-00144ff88e88,PARICALCITOL,Paricalcitol,"Accord Healthcare, Inc.",NDA207174
20181030,803b1569-46f0-4937-842c-0c363fe0ed79,803b1569-46f0-4937-842c-0c363fe0ed79,NAPROXEN SODIUM,Naproxen Sodium,Premier Value Alliance LLC,NDA021920
20191122,827f3aa0-e545-4678-be80-1a2d492377d0,34ea4810-2d6c-4bd9-ae52-8bab786dee91,NILUTAMIDE,Nilutamide,Prasco Laboratories,NDA020169
20200214,9fbcd0c7-ad74-4e15-963e-6bc404ca8883,509338f4-a1b3-4c10-a3cb-7fb03fd01f12,RIFAMYCIN,Aemcolo,Aries Pharmaceuticals Inc,NDA210910
20201006,b106289d-3464-74df-e053-2995a90aa426,7a4aa7ab-08a4-4e93-90d7-5329b0e1a61b,OXYGEN,OXYGEN,"CEE-KAY SUPPLY, INC.",NDA205767
20201007,b11a2977-93a9-a486-e053-2a95a90a027c,e640add5-d7aa-4a10-be07-180747c32017,AIR,Air,"DJB Gas Services, Inc",NDA205712
20200617,a84c4406-3154-c2bd-e053-2a95a90adaa8,f70e7022-0c44-48f2-9f7e-606e7ac730aa,EZETIMIBE AND SIMVASTATIN,VYTORIN,"PD-Rx Pharmaceuticals, Inc.",NDA021687
20160519,c107ee4d-6fd8-4cd8-9f80-5d140801eaba,7afa4b78-5e14-4723-a87b-01f664b0c0e9,ACETAMINOPHEN,Feverall Adults,Taro Pharmaceuticals U.S.A. Inc.,NDA018337
20200527,c040d6a5-b836-4389-9d95-1287855319c7,39d53698-57fa-7c99-fc5b-f52a55684826,BENDAMUSTINE HYDROCHLORIDE,TREANDA,"Cephalon, Inc.",NDA022249
20201016,ccdf0521-dab5-4b61-83c3-c5ad9df658e1,924d0ba9-8105-4434-aff9-e798b9541ee2,OXYGEN,OXYGEN,Central McGowan Inc,NDA205849
20200815,c480ab42-8321-4cfb-acef-95c2c4b7c811,82b77d74-085f-45ac-a7dd-1f5c038bf406,LETROZOLE,Femara,Novartis Pharmaceuticals Corporation,NDA020726
20201201,b56b5837-b7b1-68ea-e053-2a95a90a530b,a60adac4-57c2-4089-aefc-1a77a48676fc,ADEFOVIR DIPIVOXIL,Hepsera,"Gilead Sciences, Inc.",NDA021449
20190630,ecf75b05-d006-403c-a5b6-c64c632e6755,9683e3be-7d23-4ba7-9fe9-9762963604f0,TOPOTECAN,Topotecan,"Teva Parenteral Medicines, Inc.",NDA022453
20190521,896962a9-76a2-0895-e053-2a95a90a634c,896a046f-95d0-100e-e053-2a95a90aa59c,CLINDAMYCIN PHOSPHATE,Cleocin Phosphate,"Medical Purchasing Solutions, LLC",NDA050441
20191107,8ef7f6be-b413-4d09-9b34-5ced7269ffa1,f1bd742d-06c8-40f4-8e88-d9cebde45a0d,CETIRIZINE HCL,All Day Allergy,QUALITY CHOICE (Chain Drug Marketing Association),NDA022429
20190801,8f11a27e-933c-3c5a-e053-2a95a90ae9e2,8f11a27e-933b-3c5a-e053-2a95a90ae9e2,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,Direct_Rx,NDA021342
20191227,994a32ae-32b1-4fbb-ac7a-ea8530e93801,2c2078d1-9edc-4d0c-a72a-5491c28a5aac,MONOBASIC POTASSIUM PHOSPHATE AND DIBASIC POTASSIUM PHOSPHATE,POTASSIUM PHOSPHATES,"CMP PHARMA, INC.",NDA212121
20191231,9b01dfdf-ee8e-51e3-e053-2a95a90ad676,f88f44d8-2f18-4155-9d78-6323d19fbafe,LEVOTHYROXINE SODIUM ANHYDROUS,Levothyroxine Sodium,"Fresenius Kabi USA, LLC",NDA202231
20200224,9f583bdb-85f9-7741-e053-2995a90a3c2e,85fb5ba6-3597-e09f-e053-2a91aa0aded5,DOBUTAMINE,DOBUTAMINE,"HF Acquisition Co LLC, DBA HealthFirst",NDA020201
20190812,a354fa64-6e88-47fa-a3df-e944ee263fac,9439c3c2-338a-4d5a-be71-62c71e255504,MEGESTROL ACETATE,Megestrol Acetate,"Par Pharmaceutical, Inc.",NDA021778
20200221,9f1d664b-0447-293a-e053-2a95a90a6f7e,74f84173-a43f-7788-e053-2991aa0a8fb2,SOLU-CORTEF,SOLU-CORTEF,"HF Acquisition Co. LLC, DBA HealthFirst",NDA009866
20200221,9f2170bc-68c2-6641-e053-2a95a90ac818,788ab6d7-d80c-0220-e053-2991aa0ae6e9,CALCIUM GLUCONATE,CALCIUM GLUCONATE,"HF Acquisition Co LLC, DBA HealthFirst",NDA208418
20181219,ad18d336-4e5a-460b-aef0-a5a1c54c724b,9679cc05-2f8a-4e88-53b5-6e9122c8b8c0,BUPIVACAINE HYDROCHLORIDE IN DEXTROSE,Marcaine Spinal,"Hospira, Inc.",NDA018692
20200827,ade12a57-625a-f0dd-e053-2995a90aca44,24438045-5297-44c1-977f-2761ba2692e4,LEVOTHYROXINE SODIUM,Levothyroxine Sodium,"PD-Rx Pharmaceuticals, Inc.",NDA021210
20201027,b2ab1036-381f-4d91-e053-2995a90ad662,044e24de-c76b-0161-e054-00144ff8d46c,CHLORHEXIDINE GLUCONATE AND ISOPROPYL ALCOHOL,ChloraPrep One-Step,CareFusion 213 LLC,NDA020832
20201103,b3366ad4-5ee8-eb70-e053-2995a90acf33,34a29fae-b549-41ed-bd7d-e98fe2110bef,CALCIUM ACETATE,PhosLo,Fresenius Medical Care North America,NDA021160
20201119,b47bb769-9702-75ee-e053-2a95a90a8a01,51af9af8-3634-454c-82c4-d6c12c648e68,CARBON DIOXIDE-OXYGEN-NITROGEN MIXTURE,Carbon Dioxide-Oxygen-Nitrogen Mixture,"Roberts Oxygen Company, Inc.",NDA205849
20200921,afd6af4b-f8f1-3898-e053-2995a90a8aae,76ab8828-f572-4ddf-9c8e-08d9dfee62db,ALPRAZOLAM,Alprazolam,REMEDYREPACK INC.,NDA018276
20201012,b17e276b-0f02-7250-e053-2a95a90ad4f6,5fe22b62-e836-497e-bd7e-55bba8030499,AIR,Air,"Oxarc, Inc.",NDA205847
20201020,b21e211a-2b57-b867-e053-2a95a90aac19,79a9459a-559b-4881-9012-a79e8e46f440,AIR,Air,"AMERICAN WELDING & GAS, INC.",NDA205821
20201103,b33736bc-5b26-1778-e053-2a95a90a714a,b33736bc-5b25-1778-e053-2a95a90a714a,CLINDAMYCIN HYDROCHLORIDE,Cleocin Hydrochloride,"RedPharm Drug, Inc.",NDA050162
20190712,d7dfc83d-e51b-43b6-bf7d-244a360f51d4,3c5101a0-0c7e-4078-8dc3-a57beb9a0e92,GADOBUTROL,Gadavist,Bayer HealthCare Pharmaceuticals Inc.,NDA201277
20181010,d855ceb1-a963-4528-a98c-9352130c2f73,00623958-a8fe-47d1-a0d2-0aa4e2f7966e,CROMOLYN SODIUM,Gastrocrom,Meda Pharmaceuticals,NDA020479
20201118,e2479c70-419e-410e-9d43-55a67632a67c,8462d6ab-e3cd-4efa-a360-75bf8f917287,OSPEMIFENE,Osphena,Shionogi Inc.,NDA203505
20160701,962b4d5b-be66-4125-a632-8e2c142655e1,b6b45969-a64a-4ce3-b3b6-157d2568a301,TRETINOIN,Atralin,"Bausch Health US, LLC",NDA022070
20200619,a8d4793a-5043-40e1-b623-35812733499f,3ef0cff8-19c1-4441-b780-fca6c7ee1615,ISOTRETINOIN,Absorica LD,"Sun Pharmaceutical Industries, Inc.",NDA211913
20201009,b14005a0-6624-2cfc-e053-2995a90a66bb,97ccccd8-4da7-f521-e053-2a95a90a0faf,NITROGEN,Nitrogen,"Haun Welding Supply, Inc.",NDA205766
